Season,year,grouped_wind,n
Autumn,2010,0,1500
Autumn,2010,45,644
Autumn,2010,90,221
Autumn,2010,135,742
Autumn,2010,180,1909
Autumn,2010,225,1259
Autumn,2010,270,384
Autumn,2010,315,2076
Autumn,2011,0,1076
Autumn,2011,45,596
Autumn,2011,90,265
Autumn,2011,135,807
Autumn,2011,180,2506
Autumn,2011,225,1637
Autumn,2011,270,421
Autumn,2011,315,1427
Autumn,2012,0,2410
Autumn,2012,45,809
Autumn,2012,90,182
Autumn,2012,135,542
Autumn,2012,180,2017
Autumn,2012,225,986
Autumn,2012,270,475
Autumn,2012,315,1315
Autumn,2013,0,1748
Autumn,2013,45,899
Autumn,2013,90,243
Autumn,2013,135,617
Autumn,2013,180,1876
Autumn,2013,225,1285
Autumn,2013,270,363
Autumn,2013,315,1705
Autumn,2014,0,1173
Autumn,2014,45,579
Autumn,2014,90,328
Autumn,2014,135,1276
Autumn,2014,180,1925
Autumn,2014,225,829
Autumn,2014,270,513
Autumn,2014,315,2113
Autumn,2015,0,1681
Autumn,2015,45,868
Autumn,2015,90,343
Autumn,2015,135,1016
Autumn,2015,180,1590
Autumn,2015,225,1016
Autumn,2015,270,562
Autumn,2015,315,1660
Autumn,2016,0,1522
Autumn,2016,45,899
Autumn,2016,90,455
Autumn,2016,135,905
Autumn,2016,180,1431
Autumn,2016,225,925
Autumn,2016,270,482
Autumn,2016,315,1525
Autumn,2017,0,2164
Autumn,2017,45,854
Autumn,2017,90,317
Autumn,2017,135,412
Autumn,2017,180,1607
Autumn,2017,225,1249
Autumn,2017,270,636
Autumn,2017,315,1108
Autumn,2017,NA,1689
Spring,2010,0,599
Spring,2010,45,248
Spring,2010,90,191
Spring,2010,135,415
Spring,2010,180,968
Spring,2010,225,616
Spring,2010,270,226
Spring,2010,315,719
Spring,2011,0,1348
Spring,2011,45,518
Spring,2011,90,354
Spring,2011,135,1278
Spring,2011,180,2614
Spring,2011,225,1078
Spring,2011,270,356
Spring,2011,315,1279
Spring,2012,0,1837
Spring,2012,45,601
Spring,2012,90,292
Spring,2012,135,913
Spring,2012,180,2385
Spring,2012,225,1133
Spring,2012,270,375
Spring,2012,315,1292
Spring,2013,0,1184
Spring,2013,45,675
Spring,2013,90,612
Spring,2013,135,1056
Spring,2013,180,2022
Spring,2013,225,806
Spring,2013,270,363
Spring,2013,315,2110
Spring,2014,0,3291
Spring,2014,45,396
Spring,2014,90,434
Spring,2014,135,1390
Spring,2014,180,910
Spring,2014,225,431
Spring,2014,270,289
Spring,2014,315,1595
Spring,2015,0,860
Spring,2015,45,344
Spring,2015,90,361
Spring,2015,135,2001
Spring,2015,180,2034
Spring,2015,225,694
Spring,2015,270,365
Spring,2015,315,2169
Spring,2016,0,1317
Spring,2016,45,725
Spring,2016,90,247
Spring,2016,135,1470
Spring,2016,180,1861
Spring,2016,225,809
Spring,2016,270,442
Spring,2016,315,1960
Spring,2017,0,1019
Spring,2017,45,803
Spring,2017,90,752
Spring,2017,135,1984
Spring,2017,180,2022
Spring,2017,225,958
Spring,2017,270,432
Spring,2017,315,2532
Summer,2010,0,1187
Summer,2010,45,521
Summer,2010,90,373
Summer,2010,135,805
Summer,2010,180,2274
Summer,2010,225,2050
Summer,2010,270,684
Summer,2010,315,938
Summer,2011,0,1280
Summer,2011,45,448
Summer,2011,90,290
Summer,2011,135,753
Summer,2011,180,2271
Summer,2011,225,1950
Summer,2011,270,740
Summer,2011,315,1100
Summer,2012,0,1139
Summer,2012,45,580
Summer,2012,90,770
Summer,2012,135,1009
Summer,2012,180,2166
Summer,2012,225,1762
Summer,2012,270,542
Summer,2012,315,864
Summer,2013,0,1174
Summer,2013,45,306
Summer,2013,90,215
Summer,2013,135,693
Summer,2013,180,3095
Summer,2013,225,2068
Summer,2013,270,514
Summer,2013,315,724
Summer,2014,0,1072
Summer,2014,45,578
Summer,2014,90,660
Summer,2014,135,1807
Summer,2014,180,2127
Summer,2014,225,932
Summer,2014,270,526
Summer,2014,315,1130
Summer,2015,0,1089
Summer,2015,45,561
Summer,2015,90,248
Summer,2015,135,1471
Summer,2015,180,2450
Summer,2015,225,1267
Summer,2015,270,630
Summer,2015,315,1116
Summer,2016,0,862
Summer,2016,45,532
Summer,2016,90,532
Summer,2016,135,1296
Summer,2016,180,2315
Summer,2016,225,1461
Summer,2016,270,572
Summer,2016,315,1262
Summer,2017,0,1177
Summer,2017,45,628
Summer,2017,90,544
Summer,2017,135,603
Summer,2017,180,2271
Summer,2017,225,1906
Summer,2017,270,464
Summer,2017,315,871
Winter,2010,0,244
Winter,2010,45,50
Winter,2010,90,21
Winter,2010,135,140
Winter,2010,180,295
Winter,2010,225,267
Winter,2010,270,187
Winter,2010,315,1772
Winter,2011,0,1285
Winter,2011,45,451
Winter,2011,90,119
Winter,2011,135,612
Winter,2011,180,2225
Winter,2011,225,1014
Winter,2011,270,481
Winter,2011,315,2453
Winter,2012,0,1980
Winter,2012,45,344
Winter,2012,90,161
Winter,2012,135,576
Winter,2012,180,1949
Winter,2012,225,1232
Winter,2012,270,521
Winter,2012,315,1973
Winter,2013,0,1640
Winter,2013,45,400
Winter,2013,90,285
Winter,2013,135,631
Winter,2013,180,1810
Winter,2013,225,1259
Winter,2013,270,517
Winter,2013,315,2098
Winter,2014,0,6233
Winter,2014,45,129
Winter,2014,90,41
Winter,2014,135,282
Winter,2014,180,361
Winter,2014,225,267
Winter,2014,270,307
Winter,2014,315,1020
Winter,2015,0,1160
Winter,2015,45,258
Winter,2015,90,180
Winter,2015,135,1270
Winter,2015,180,1890
Winter,2015,225,637
Winter,2015,270,544
Winter,2015,315,2700
Winter,2016,0,837
Winter,2016,45,220
Winter,2016,90,165
Winter,2016,135,860
Winter,2016,180,1625
Winter,2016,225,811
Winter,2016,270,634
Winter,2016,315,3533
Winter,2017,0,714
Winter,2017,45,280
Winter,2017,90,154
Winter,2017,135,1129
Winter,2017,180,1715
Winter,2017,225,898
Winter,2017,270,430
Winter,2017,315,2220
Winter,2017,NA,470
NA,NA,NA,1
Autumn,2010,360,1500
Autumn,2011,360,1076
Autumn,2012,360,2410
Autumn,2013,360,1748
