year,beaufort,grouped_wind,n,direction
2017,0,0,533,N
2017,0,45,1,NE
2017,0,90,6,E
2017,0,135,6,SE
2017,0,180,19,S
2017,0,225,46,SW
2017,0,270,50,W
2017,0,315,14,NW
2017,1,0,338,N
2017,1,45,314,NE
2017,1,90,215,E
2017,1,135,318,SE
2017,1,180,1558,S
2017,1,225,2085,SW
2017,1,270,1132,W
2017,1,315,615,NW
2017,2,0,772,N
2017,2,45,611,NE
2017,2,90,537,E
2017,2,135,1066,SE
2017,2,180,2511,S
2017,2,225,2297,SW
2017,2,270,643,W
2017,2,315,1469,NW
2017,3,0,1534,N
2017,3,45,1092,NE
2017,3,90,829,E
2017,3,135,1896,SE
2017,3,180,2667,S
2017,3,225,578,SW
2017,3,270,133,W
2017,3,315,2553,NW
2017,4,0,1200,N
2017,4,45,489,NE
2017,4,90,179,E
2017,4,135,781,SE
2017,4,180,803,S
2017,4,225,5,SW
2017,4,270,4,W
2017,4,315,1613,NW
2017,5,0,596,N
2017,5,45,53,NE
2017,5,90,1,E
2017,5,135,55,SE
2017,5,180,57,S
2017,5,315,362,NW
2017,6,0,94,N
2017,6,45,5,NE
2017,6,135,6,SE
2017,6,315,87,NW
2017,7,0,7,N
2017,7,315,16,NW
2017,8,315,2,NW
